Date,Time,Pasture,Map X,Map Y,Notes
8/4,1:00 PM,1,,,This is their starting point. We then opened them up to the entire home farm! :)
8/4,6:00 PM,3,,,Seen grazing on millet in mid-upper area
8/5,8:47 AM,2,,,Found this morning. under crab apple tree
8/5,3:00 PM,3,,,near the trees area along the rock wall of field 3. Where yvonne calved
8/5,5:00 PM,1,,,Field 1 SE Queen anne lace. Near groundhog hole
8/5,7:00 PM,5,,,Field 4/ 5 right past junction. Moving further into 5
8/5,7:48 PM,3,,,Field 3 (mid right. )
8/5,8:15 PM,3,,,Moved into millet city. Top (middle) of field 3
8/6,7:40 AM,3,,,field 3 mid
8/6,9:23 AM,3,,,high corner of 3 near thin tree patch
8/6,11:44 AM,3,,,Moving west back to mid 3
8/6,11:58 AM,3,,,Moving down towards rock wall. Towards 3.5
8/6,12:01 PM,3,,,Edge of canopy under tree
8/6,1:44 PM,3,,,under gma tree field 3 side
8/7,AM,2,,,"near rockwall, left of driving lane (coming up)"
8/9,AM,4,,,Field 4 (along 3.5 separating fence near old pig area)
8/9,PM,4,,,Field 4 (along tensile line to Field 5 at the lower side)
8/10,AM,2,,,Field 2 near rock wall mid range
8/10,PM,2,,,"bottom of field 2, near rockwall, left of driving lane (comjng up)"
8/11,8:11 AM,2,,,"bottom of field 2, near rockwall, left of driving lane (comjng up)"
8/11,AM,2,,,UNDER SUMAC TREE
8/12,8:00 AM,2,,,Under apple tree
8/12,11:30,4,,,"We brought them into field 4 for broiler loading tomorrow. Cutting off access to fields 1,2,3"
,,1,,,
,,1,,,
,,1,,,
,,1,,,
,,1,,,
,,1,,,
,,1,,,
,,1,,,
